"Data Source","WDI Database Archives",

"Last Updated Date","2025-10-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","393.715061058484","392.822390792278","373.562395609343","341.314728106908","338.892254435346","298.672781881612","290.430563483932","332.202327663469","290.533169100468","285.631295189928","280.077269287584","283.368600960714","292.797586625786","287.878787879273","279.302815253586","281.873040751859","270.001460493771","287.991853953488","284.540404945753","288.836260545146","289.978588226717","300.454448626055","287.211608727086","296.605307195909","311.893840105173","300.977560542044","296.898379524171","287.672892776717","307.495142037486","300.357283434766","282.580242220171","284.349315068493","286.002644776566","282.222273749623","294.740140665258","305.773049969183","315.444335405081","306.181950893129","318.337836696783","330.878659365092","359.250848940647","357.776840244295","375.164113785558","360.052069869641","","","","","","","","","","","",
"Afghanistan","AFG","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","932.600732600484","925.260416667","904.971098265427","901.747678864271","903.724928366722","921.048354327377","1000.31567870895","997.357357356865","992.64838806908","993.204922418227","947.670426679864","923.492349234875","909.512302284409","900.023380874474","855.702442303837","870.023255813535","833.881654101405","858.401054249685","868.995443697266","867.820069203724","917.255948410364","922.752646776075","879.290547467984","842.755941498713","890.561605808651","905.313273662309","971.792693287756","882.659059474075","885.445783132976","904.189270644967","947.004797806717","958.334424512243","971.261444557478","992.986425339367","930.108303249098","876.665407379423","844.844579226687","895.228628230616","984.747449614332","927.897715363655","841.214215202369","833.707348477881","824.375904486252","797.384378676803","","","","","","","","","","","",
"Angola","AGO","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","5543.83459764059","6211.821862347","5750.32467532212","5095.8152958158","4949.45172098674","5072.91831880327","3795.41584244559","4573.94121697552","3662.00787402126","3330.17618673281","3053.45938375","3459.82800982799","2971.72780632229","2777.20084966336","3255.49645389348","3278.93934000604","3218.50516702389","3402.74632709918","3468.52394915784","2295.81530866136","2766.48160619365","2693.9595147927","2535.07274715206","3263.80328705566","2421.19662094243","2091.82789145899","2147.37951917889","1939.4500039786","2152.33835363908","2002.53808875656","2062.49230722343","2322.36204795856","3385.28853222563","3626.56138129643","3420.0083483339","3512.22521159791","3593.25836468756","3918.95745815779","3433.093873221","3574.88609731906","3516.9259069873","3136.70577769136","2941.63073079249","2507.40932642917","","","","","","","","","","","",
"Albania","ALB","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","1655.41443776179","1533.96176350056","1769.18002513214","1788.59502613583","1746.99839949619","1878.07731769106","1819.99229777519","1728.20017762871","1622.20887352287","1878.09297914331","1215.00035474611","1211.54606853893","1209.90700805007","1606.2161274523","1369.63454978737","1276.60902783822","1275.86154653435","1404.86032764322","1230.31216761681","1083.30039274908","1195.66212512871","1596.73038515684","2217.39777869803","2683.12996942639","3014.93953845746","2950.98797739337","3051.47630148937","3801.52390025973","4248.32939825829","4245.42126532958","4256.27661185299","4208.56299311788","4428.03137975169","5012.93364894796","5412.86144716346","4456.31184407032","4891.4120357911","5420.67692319286","5157.01522961854","4814.27419012135","4554.26791831051","4493.70892229367","4375.00000000462","3417.23300970806","","","","","","","","","","","",
"Andorra","AND","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Netherlands Antilles","ANT","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab League states","ARB","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","2063.4541360427","2123.24864607973","2128.87720374172","2164.71750176083","2157.39528063689","2205.56701212669","2270.91927277143","2395.88002511313","2205.31132691476","2119.03041022622","2232.16810261158","2276.12759856639","2411.89529833115","2539.89788880663","2550.74540336071","2362.74218158449","2359.15509834248","2338.23536317618","2320.1004053351","2423.50371711552","2431.2034301425","2397.08295193072","2315.89551182709","2281.45119418061","2178.56866837552","2169.60355523537","2108.20638609411","2152.64676415251","2163.4009090222","2215.48530877164","2132.79353082848","2136.87381006852","2121.12587031108","2127.34305756878","2114.09036260382","2127.30574371472","2182.87024300557","2161.63730543874","2061.39353971318","2071.77373881459","1941.37545628735","1750.82169245727","1602.07313754115","1410.42444378341","","","","","","","","","","","",
