district,province,year,month_name,vim,vim_avg,forest statust,viq,brightness,bright_t31,Fire Radiative Power,population,no2_ug_m3_avg,so2_ug_m3_avg,respiratory_cases,deaths,respiratory_cases_per_100k,deaths_per_100k,Petrol_Liters,Diesel_Liters,Kerosene_Liters,CO2_Petrol_Tons,CO2_Diesel_Tons,CO2_Kerosene_Tons,CO2_Total_Tons,Estimated_Vehicles,national_total_vehicles,national_buses,national_dpv,national_lorries,national_motor_cars,national_motorcycles,national_tricycles
Ampara,Eastern,2016,October,0.62862132,0.672698457,Healthy,93.899475,318.5,297.79,19.7,696500,16.3643,32.751,286,1,41.15350271,0.257968122,,,,,,,,,986656.0,2685.0,26887.0,5271.0,45172.0,340129.0,56945.0
Ampara,Eastern,2016,November,0.706052347,0.73024149,Healthy,96.87863667,,,,697670,17.7562,26.1219,308,1,44.24483306,0.27734593,,,,,,,,,986656.0,2685.0,26887.0,5271.0,45172.0,340129.0,56945.0
Ampara,Eastern,2016,December,0.771121977,0.776660733,Healthy,99.32606333,,,,698830,18.5891,29.27,297,1,42.59384065,0.266996789,,,,,,,,,986656.0,2685.0,26887.0,5271.0,45172.0,340129.0,56945.0
Ampara,Eastern,2017,January,0.791273887,0.783309713,Healthy,100.9597733,,,,700000,18.2366,27.1529,210,1,30.05226481,0.271777003,,,,,,,,,903306.0,3331.0,16742.0,8689.0,39182.0,344380.0,23537.0
Ampara,Eastern,2017,February,0.765726053,0.7432987,Healthy,102.8334967,,,,701580,19.5165,26.8182,198,1,28.31877502,0.256100226,,,,,,,,,903306.0,3331.0,16742.0,8689.0,39182.0,344380.0,23537.0
Ampara,Eastern,2017,March,0.722101333,0.699393903,Healthy,103.0244587,327.15,306.5,20.06666667,703170,17.8488,29.5417,210,1,29.91678451,0.27055179,,,,,,,,,903306.0,3331.0,16742.0,8689.0,39182.0,344380.0,23537.0
Ampara,Eastern,2017,April,0.679878253,0.683114263,Healthy,99.55966467,317.8,296.6333333,9.133333333,704750,15.5969,29.0037,186,1,26.53307839,0.239951318,,,,,,,,,903306.0,3331.0,16742.0,8689.0,39182.0,344380.0,23537.0
Ampara,Eastern,2017,May,0.67218999,0.69424426,Healthy,97.03678333,316.5,292.5333333,14.56666667,706330,16.7108,26.7445,175,1,24.81911827,0.224451156,,,,,,,,,903306.0,3331.0,16742.0,8689.0,39182.0,344380.0,23537.0
Ampara,Eastern,2017,June,0.688283417,0.69607917,Healthy,98.96022533,320.0,299.0,10.76666667,707920,14.6427,22.1612,198,1,28.06515733,0.25380664,,,,,,,,,903306.0,3331.0,16742.0,8689.0,39182.0,344380.0,23537.0
Ampara,Eastern,2017,July,0.682468,0.66297264,Healthy,102.7508913,319.5666667,297.9666667,23.85,709500,12.3694,20.979,222,2,31.29708887,0.283034543,,,,,,,,,903306.0,3331.0,16742.0,8689.0,39182.0,344380.0,23537.0
Ampara,Eastern,2017,August,0.67266575,0.629752123,Degraded,106.3195233,324.2461538,299.4384615,19.8,711080,10.6502,19.5722,245,2,34.51465788,0.312132558,,,,,,,,,903306.0,3331.0,16742.0,8689.0,39182.0,344380.0,23537.0
Ampara,Eastern,2017,September,0.684097467,0.632959433,Degraded,107.4917833,322.58,294.76,20.5,712670,13.3965,23.4389,280,2,39.35731894,0.355927058,,,,,,,,,903306.0,3331.0,16742.0,8689.0,39182.0,344380.0,23537.0
Ampara,Eastern,2017,October,0.704503633,0.672698457,Healthy,104.4230937,321.35,293.75,42.775,714250,15.0913,24.5306,303,2,42.54277755,0.384734684,,,,,,,,,903306.0,3331.0,16742.0,8689.0,39182.0,344380.0,23537.0
Ampara,Eastern,2017,November,0.741513133,0.73024149,Healthy,101.4526933,,,,715830,18.1643,28.9698,327,2,45.71417409,0.41341514,,,,,,,,,903306.0,3331.0,16742.0,8689.0,39182.0,344380.0,23537.0
Ampara,Eastern,2017,December,0.780193863,0.776660733,Healthy,100.4298813,,,,717420,22.3059,31.1346,315,2,43.98382823,0.397766794,,,,,,,,,903306.0,3331.0,16742.0,8689.0,39182.0,344380.0,23537.0
Ampara,Eastern,2018,January,0.778819683,0.783309713,Healthy,99.45897,,,,719000,19.6595,26.982,187,1,26.12368126,0.142474304,,,,,,,,,961598.0,2957.0,16931.0,7055.0,80776.0,339763.0,20063.0
Ampara,Eastern,2018,February,0.737916083,0.7432987,Healthy,99.32699867,,,,719750,20.7158,28.7377,177,0,24.64665633,0.13441885,,,,,,,,,961598.0,2957.0,16931.0,7055.0,80776.0,339763.0,20063.0
