Year,District,Petrol_Liters,Diesel_Liters,Kerosene_Liters,LPG_Kg,Other_Liters,Total_Fuel_MJ,Data_Source
2012,Mullaitivu,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2012,Batticaloa,,56323830.0,6230400.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2012,Ampara,,46572900.0,5517600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2012,Trincomalee,,44797500.0,8124600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2012,Kandy,,81993200.0,3451800.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2012,Matale,,36504600.0,1947000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2012,Nuwara Eliya,,33038580.0,2283600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2012,Kegalle,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2012,Ratnapura,,70864200.0,2145000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2012,Kurunegala,,130524900.0,5441910.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2012,Puttalam,,68966700.0,15483600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2012,Anuradhapura,,87306450.0,3659700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2012,Polonnaruwa,,41405100.0,1821600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2012,Badulla,,86278390.0,1904100.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2012,Monaragala,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2012,Vavuniya,,22558700.0,1910700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2012,Mannar,,10312500.0,5695800.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2012,Kilinochchi,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2013,Colombo,,559651390.0,8467710.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2013,Gampaha,,254317150.0,10560000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2013,Kalutara,,94040100.0,5847600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2013,Matara,,65902610.0,4910400.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2013,Galle,,76184000.0,5606700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2013,Hambantota,,56380180.0,4715700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2013,Jaffna,,41913340.0,10969200.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2013,Mullaitivu,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2013,Batticaloa,,56323830.0,6230400.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2013,Ampara,,46572900.0,5517600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2013,Trincomalee,,44797500.0,8124600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2013,Kandy,,81993200.0,3451800.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2013,Matale,,36504600.0,1947000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2013,Nuwara Eliya,,33038580.0,2283600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2013,Kegalle,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2013,Ratnapura,,70864200.0,2145000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2013,Kurunegala,,130524900.0,5441910.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2013,Puttalam,,68966700.0,15483600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2013,Anuradhapura,,87306450.0,3659700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2013,Polonnaruwa,,41405100.0,1821600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2013,Badulla,,86278390.0,1904100.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2013,Monaragala,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2013,Vavuniya,,22558700.0,1910700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2013,Mannar,,10312500.0,5695800.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2013,Kilinochchi,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2014,Colombo,,559651390.0,8467710.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2014,Gampaha,,254317150.0,10560000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2014,Kalutara,,94040100.0,5847600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2014,Matara,,65902610.0,4910400.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2014,Galle,,76184000.0,5606700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2014,Hambantota,,56380180.0,4715700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2014,Jaffna,,41913340.0,10969200.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2014,Mullaitivu,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2014,Batticaloa,,56323830.0,6230400.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2014,Ampara,,46572900.0,5517600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2014,Trincomalee,,44797500.0,8124600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2014,Kandy,,81993200.0,3451800.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2014,Matale,,36504600.0,1947000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2014,Nuwara Eliya,,33038580.0,2283600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2014,Kegalle,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2014,Ratnapura,,70864200.0,2145000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2014,Kurunegala,,130524900.0,5441910.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2014,Puttalam,,68966700.0,15483600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2014,Anuradhapura,,87306450.0,3659700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2014,Polonnaruwa,,41405100.0,1821600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2014,Badulla,,86278390.0,1904100.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2014,Monaragala,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2014,Vavuniya,,22558700.0,1910700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2014,Mannar,,10312500.0,5695800.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2014,Kilinochchi,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2015,Colombo,,559651390.0,8467710.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2015,Gampaha,,254317150.0,10560000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2015,Kalutara,,94040100.0,5847600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2015,Matara,,65902610.0,4910400.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2015,Galle,,76184000.0,5606700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2015,Hambantota,,56380180.0,4715700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2015,Jaffna,,41913340.0,10969200.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2015,Mullaitivu,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2015,Batticaloa,,56323830.0,6230400.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2015,Ampara,,46572900.0,5517600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2015,Trincomalee,,44797500.0,8124600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2015,Kandy,,81993200.0,3451800.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2015,Matale,,36504600.0,1947000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2015,Nuwara Eliya,,33038580.0,2283600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2015,Kegalle,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2015,Ratnapura,,70864200.0,2145000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2015,Kurunegala,,130524900.0,5441910.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2015,Puttalam,,68966700.0,15483600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2015,Anuradhapura,,87306450.0,3659700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2015,Polonnaruwa,,41405100.0,1821600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2015,Badulla,,86278390.0,1904100.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2015,Monaragala,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2015,Vavuniya,,22558700.0,1910700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2015,Mannar,,10312500.0,5695800.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2015,Kilinochchi,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2016,Colombo,,559651390.0,8467710.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2016,Gampaha,,254317150.0,10560000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2016,Kalutara,,94040100.0,5847600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2016,Matara,,65902610.0,4910400.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2016,Galle,,76184000.0,5606700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2016,Hambantota,,56380180.0,4715700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2016,Jaffna,,41913340.0,10969200.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2016,Mullaitivu,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2016,Batticaloa,,56323830.0,6230400.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2016,Ampara,,46572900.0,5517600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2016,Trincomalee,,44797500.0,8124600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2016,Kandy,,81993200.0,3451800.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2016,Matale,,36504600.0,1947000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2016,Nuwara Eliya,,33038580.0,2283600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2016,Kegalle,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2016,Ratnapura,,70864200.0,2145000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2016,Kurunegala,,130524900.0,5441910.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2016,Puttalam,,68966700.0,15483600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2016,Anuradhapura,,87306450.0,3659700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2016,Polonnaruwa,,41405100.0,1821600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2016,Badulla,,86278390.0,1904100.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2016,Monaragala,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2016,Vavuniya,,22558700.0,1910700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2016,Mannar,,10312500.0,5695800.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2016,Kilinochchi,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2017,Colombo,,559651390.0,8467710.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2017,Gampaha,,254317150.0,10560000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2017,Kalutara,,94040100.0,5847600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2017,Matara,,65902610.0,4910400.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2017,Galle,,76184000.0,5606700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2017,Hambantota,,56380180.0,4715700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2017,Jaffna,,41913340.0,10969200.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2017,Mullaitivu,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2017,Batticaloa,,56323830.0,6230400.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2017,Ampara,,46572900.0,5517600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2017,Trincomalee,,44797500.0,8124600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2017,Kandy,,81993200.0,3451800.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2017,Matale,,36504600.0,1947000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2017,Nuwara Eliya,,33038580.0,2283600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2017,Kegalle,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
