Year,Month,Month_Name,District,CO2_Diesel_Tons,CO2_Petrol_Tons,CO2_Kerosene_Tons,CO2_Total_Tons,Diesel_Pct,Petrol_Pct,Kerosene_Pct
2022,1,January,Colombo,3984.329608313149,,55.335515618407676,4039.6651239315565,98.63019547609053,0.0,1.369804523909473
2022,2,February,Colombo,3593.7090584785265,,49.910465067583395,3643.61952354611,98.63019547609052,0.0,1.369804523909473
2022,3,March,Colombo,14687.332673781802,,203.98190071099302,14891.314574492795,98.63019547609053,0.0,1.3698045239094732
2022,4,April,Colombo,120818.93606384873,,1677.9681353699505,122496.9041992187,98.63019547609052,0.0,1.3698045239094727
2022,5,May,Colombo,176013.61975548088,,2444.527778201422,178458.14753368232,98.63019547609052,0.0,1.369804523909473
2022,6,June,Colombo,209919.4834811261,,2915.422166012969,212834.90564713906,98.63019547609052,0.0,1.3698045239094727
2022,7,July,Colombo,187654.1121405526,,2606.1942846159845,190260.30642516862,98.63019547609052,0.0,1.3698045239094727
2022,8,August,Colombo,164060.63093054146,,2278.521231346199,166339.15216188764,98.63019547609053,0.0,1.369804523909473
2022,9,September,Colombo,160154.42543219522,,2224.2707258379555,162378.69615803316,98.63019547609053,0.0,1.369804523909473
2022,10,October,Colombo,158201.32268302207,,2197.1454730838336,160398.46815610587,98.63019547609053,0.0,1.369804523909473
2022,11,November,Colombo,152342.01443550276,,2115.76971482147,154457.78415032424,98.63019547609053,0.0,1.369804523909473
2022,12,December,Colombo,148435.80893715651,,2061.5192093132273,150497.32814646975,98.63019547609053,0.0,1.369804523909473
2022,1,January,Gampaha,1810.5616616923194,,69.00839128056879,1879.570052972888,96.32850123508729,0.0,3.6714987649127115
2022,2,February,Gampaha,1633.0556164283664,,62.24286272365026,1695.2984791520166,96.32850123508729,0.0,3.671498764912711
2022,3,March,Gampaha,6674.227301924629,,254.38387374013587,6928.611175664764,96.32850123508729,0.0,3.671498764912711
2022,4,April,Gampaha,54902.61980014064,,2092.5779826548946,56995.19778279553,96.32850123508729,0.0,3.671498764912711
2022,5,May,Gampaha,79984.22399593717,,3048.5471677474798,83032.77116368465,96.32850123508729,0.0,3.671498764912711
2022,6,June,Gampaha,95391.74872484828,,3635.7950464880055,99027.54377133629,96.32850123508729,0.0,3.67149876491271
