year_month,month_name,district,province,adm_level,adm_id,PCODE,n_pixels,vim,vim_avg,viq,fire_point_count,fire_brightness_mean,fire_confidence_mean,fire_frp_mean,respiratory_cases,deaths,population,year,month,resp_cases_per_100k
2002-07,July,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6330797933333333,0.66297264,95.79571333333332,1.0,319.5787879,57.90909091,16.44545455,,,,2002,7,
2002-08,August,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.5728614333333334,0.6297521233333333,91.62095333333332,1.0,329.1876712,66.06849315,21.95068493,,,,2002,8,
2002-09,September,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.5568367333333334,0.6329594333333334,88.85133466666666,1.0,331.7454545,66.61363636,23.47727273,,,,2002,9,
2002-10,October,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6290136133333334,0.6726984566666667,93.91135,1.0,319.6,0.0,32.8,,,,2002,10,
2002-11,November,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7301281199999999,0.73024149,99.96706,,,,,,,,2002,11,
2002-12,December,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.787802,0.7766607333333333,101.34929333333334,,,,,,,,2002,12,
2003-01,January,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.78703331,0.7833097133333333,100.44583,,,,,,,,2003,1,
2003-02,February,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.74520748,0.7432987,100.24063666666666,,,,,,,,2003,2,
2003-03,March,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7013226499999999,0.6993939033333333,100.25651333333332,1.0,317.78,58.4,9.1,,,,2003,3,
2003-04,April,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6831344333333332,0.6831142633333332,100.00265666666668,1.0,321.1,68.33333333,11.03333333,,,,2003,4,
2003-05,May,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6947557866666667,0.6942442600000001,100.069022,1.0,320.4666667,61.66666667,10.03333333,,,,2003,5,
2003-06,June,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7125287633333333,0.69607917,102.21223166666668,1.0,321.2428571,58.57142857,14.67142857,,,,2003,6,
2003-07,July,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7066222,0.66297264,106.127015,1.0,321.1454545,55.72727273,19.39090909,,,,2003,7,
2003-08,August,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6559414666666666,0.6297521233333333,103.843722,1.0,325.304,65.32,31.148,,,,2003,8,
2003-09,September,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6319628,0.6329594333333334,99.85827133333332,1.0,329.5551724,69.15517241,21.31896552,,,,2003,9,
2003-10,October,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.66941272,0.6726984566666667,99.54546666666666,1.0,320.5428571,54.71428571,16.18571429,,,,2003,10,
2003-11,November,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7228691233333334,0.73024149,99.05968666666666,,,,,,,,2003,11,
2003-12,December,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7640589733333334,0.7766607333333333,98.47551833333334,,,,,,,,2003,12,
2004-01,January,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.78065007,0.7833097133333333,99.68505333333331,,,,,,,,2004,1,
2004-02,February,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7553122033333333,0.7432987,101.51945033333334,1.0,314.7,55.0,6.1,,,,2004,2,
2004-03,March,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.71178888,0.6993939033333333,101.65161733333332,1.0,314.3333333,47.0,8.066666667,,,,2004,3,
2004-04,April,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6844043000000001,0.6831142633333332,100.17645,1.0,316.5666667,44.0,11.96666667,,,,2004,4,
2004-05,May,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6794974766666666,0.6942442600000001,98.02276666666668,1.0,324.2,42.3,18.8,,,,2004,5,
2004-06,June,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6584086,0.69607917,94.94708733333334,1.0,326.0489796,67.28571429,20.56122449,,,,2004,6,
2004-07,July,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6258301366666666,0.66297264,94.79642866666669,1.0,325.528,57.28,28.42,,,,2004,7,
2004-08,August,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6063530333333333,0.6297521233333333,96.563158,1.0,326.9788462,65.34615385,24.06538462,,,,2004,8,
2004-09,September,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6462484666666667,0.6329594333333334,101.92948666666666,1.0,330.6272727,58.54545455,30.29090909,,,,2004,9,
2004-10,October,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7068623333333334,0.6726984566666667,104.73374,,,,,,,,2004,10,
2004-11,November,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.75447095,0.73024149,103.11282,,,,,,,,2004,11,
2004-12,December,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7881179033333333,0.7766607333333333,101.392067,,,,,,,,2004,12,
2005-01,January,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7788378433333333,0.7833097133333333,99.45961533333332,,,,,,,,2005,1,
2005-02,February,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7249258133333334,0.7432987,97.67814833333334,1.0,324.6666667,66.66666667,12.23333333,,,,2005,2,
2005-03,March,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.68195009,0.6993939033333333,97.67728,1.0,327.9125,61.375,12.125,,,,2005,3,
2005-04,April,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6842966,0.6831142633333332,100.16059533333332,,,,,,,,2005,4,
2005-05,May,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7104503033333334,0.6942442600000001,102.17560666666668,1.0,318.1,0.0,13.8,,,,2005,5,
2005-06,June,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7112496466666668,0.69607917,102.030387,1.0,320.2818182,53.39393939,12.92121212,,,,2005,6,
2005-07,July,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6623442,0.66297264,99.89897333333332,1.0,321.44,58.4,19.24,,,,2005,7,
2005-08,August,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6029695966666666,0.6297521233333333,96.05275333333331,1.0,325.7382353,65.54411765,21.17058824,,,,2005,8,
2005-09,September,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.5967235666666667,0.6329594333333334,94.691435,1.0,333.475,71.82142857,32.15357143,,,,2005,9,
2005-10,October,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6553716333333334,0.6726984566666667,97.58117,1.0,318.425,26.25,33.8,,,,2005,10,
2005-11,November,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7273158633333333,0.73024149,99.62284533333332,,,,,,,,2005,11,
2005-12,December,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7785224,0.7766607333333333,100.221827,,,,,,,,2005,12,
2006-01,January,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7967906866666666,0.7833097133333333,101.620375,,,,,,,,2006,1,
2006-02,February,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7623643566666667,0.7432987,102.40413333333332,,,,,,,,2006,2,
2006-03,March,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7122750666666667,0.6993939033333333,101.71280833333331,1.0,325.2333333,52.83333333,11.01666667,,,,2006,3,
2006-04,April,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.67942992,0.6831142633333332,99.49806466666666,1.0,328.4166667,76.83333333,15.46666667,,,,2006,4,
2006-05,May,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6751307999999999,0.6942442600000001,97.43395333333336,,,,,,,,2006,5,
2006-06,June,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6752646066666667,0.69607917,97.21170466666666,1.0,324.9,60.5,21.44375,,,,2006,6,
2006-07,July,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.65182268,0.66297264,98.43966,1.0,320.5458333,57.54166667,16.46666667,,,,2006,7,
2006-08,August,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6303988833333333,0.6297521233333333,100.10053166666668,1.0,325.5888889,62.36111111,24.51666667,,,,2006,8,
2006-09,September,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6556700333333333,0.6329594333333334,103.32024333333334,1.0,325.85,57.91666667,17.26666667,,,,2006,9,
2006-10,October,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6992033733333334,0.6726984566666667,103.67096333333332,1.0,320.3,71.0,9.9,,,,2006,10,
2006-11,November,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7471206,0.73024149,102.17491166666666,,,,,,,,2006,11,
2006-12,December,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.77956461,0.7766607333333333,100.35487666666666,,,,,,,,2006,12,
2007-01,January,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7852088199999999,0.7833097133333333,100.22992333333332,,,,,,,,2007,1,
2007-02,February,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7503165333333334,0.7432987,100.88339866666666,1.0,321.5,52.0,6.1,,,,2007,2,
2007-03,March,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6991918033333334,0.6993939033333333,99.96922633333334,1.0,322.962963,54.25925926,20.71481481,,,,2007,3,
2007-04,April,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6854868233333334,0.6831142633333332,100.323258,1.0,322.6,56.0,13.83333333,,,,2007,4,
2007-05,May,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7004469000000001,0.6942442600000001,100.83392666666668,1.0,313.8666667,16.33333333,8.2,,,,2007,5,
2007-06,June,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.70524487,0.69607917,101.23028833333336,1.0,322.6466667,55.53333333,13.47333333,,,,2007,6,
2007-07,July,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6854838666666666,0.66297264,103.17069,1.0,326.7633333,68.53333333,22.29666667,,,,2007,7,
2007-08,August,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6728487200000001,0.6297521233333333,106.34519366666666,1.0,323.8684211,59.52631579,16.97894737,,,,2007,8,
2007-09,September,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6783285333333334,0.6329594333333334,106.64901533333334,1.0,330.0833333,70.33333333,21.33333333,,,,2007,9,
2007-10,October,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6974958966666667,0.6726984566666667,103.44794133333332,1.0,321.8,30.0,13.9,,,,2007,10,
2007-11,November,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7396421333333333,0.73024149,101.21171,,,,,,,,2007,11,
2007-12,December,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7806566666666667,0.7766607333333333,100.4851,,,,,,,,2007,12,
2008-01,January,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7802419,0.7833097133333333,99.63039133333332,,,,,,,,2008,1,
2008-02,February,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7411024866666667,0.7432987,99.72821833333334,,,,,,,,2008,2,
2008-03,March,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7121460399999999,0.6993939033333333,101.71042833333333,,,,,,,,2008,3,
2008-04,April,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6996296966666667,0.6831142633333332,102.25323,1.0,317.2,26.0,14.1,,,,2008,4,
2008-05,May,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7008743666666666,0.6942442600000001,100.89115833333334,1.0,317.925,53.5,11.65,,,,2008,5,
2008-06,June,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7123773133333332,0.69607917,102.187032,1.0,317.2,49.66666667,12.51666667,,,,2008,6,
2008-07,July,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6887224466666666,0.66297264,103.617548,1.0,320.54,68.0,11.27,,,,2008,7,
2008-08,August,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6634299333333333,0.6297521233333333,104.957045,1.0,326.6825397,61.98412698,15.96984127,,,,2008,8,
2008-09,September,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6663321966666667,0.6329594333333334,104.89032,1.0,325.4733333,60.2,22.46,,,,2008,9,
2008-10,October,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6918576,0.6726984566666667,102.66833,1.0,318.45,25.0,33.15,,,,2008,10,
2008-11,November,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7339097666666667,0.73024149,100.47345,,,,,,,,2008,11,
2008-12,December,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7759850233333333,0.7766607333333333,99.92079733333333,,,,,,,,2008,12,
2009-01,January,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7720503466666666,0.7833097133333333,98.64541833333334,,,,,,,,2009,1,
2009-02,February,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.7158707166666667,0.7432987,96.53352666666666,1.0,321.6,57.84615385,14.05384615,,,,2009,2,
2009-03,March,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6737185866666667,0.6993939033333333,96.5824,1.0,324.7333333,63.0,8.9,,,,2009,3,
2009-04,April,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6809605533333333,0.6831142633333332,99.70576666666666,,,,,,,,2009,4,
2009-05,May,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6873346766666666,0.6942442600000001,99.077035,1.0,323.0166667,73.5,18.25,,,,2009,5,
2009-06,June,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6552213,0.69607917,94.516545,1.0,320.0818182,55.66666667,10.85757576,,,,2009,6,
2009-07,July,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6003664466666666,0.66297264,91.21369666666668,1.0,324.5,56.1627907,21.93488372,,,,2009,7,
