Year,Month,District,Petrol_Liters,Diesel_Liters,Kerosene_Liters,CO2_Petrol_Tons,CO2_Diesel_Tons,CO2_Kerosene_Tons,CO2_Total_Tons
2020,1,Kandy,103.11547119954773,105.51810972977854,7.893694439633015,0.23819673847095527,0.28278853407580645,0.019418488321497215,0.5404037608682589
2020,2,Kandy,93.00611127802341,95.17319701117277,7.1198028279042855,0.21484411705223408,0.25506416798994297,0.017514714956644542,0.4874229999988216
2020,3,Kandy,380.1119330493131,388.96871821957575,29.098324601000126,0.8780585653439134,1.0424361648284628,0.0715818785184603,1.9920766086908366
2020,4,Kandy,3126.8250237274615,3199.681503864755,239.3646755076952,7.222965804810436,8.575146430357542,0.5888371017489302,16.38694933691691
2020,5,Kandy,4555.277580638844,4661.417671003745,348.7155602449643,10.522691211275728,12.492599358290036,0.8578402782026122,23.873130847768376
2020,6,Kandy,5432.770021827149,5559.3560949787225,415.8893521430177,12.549698750420717,14.899074334542973,1.0230878062718234,28.47186089123551
2020,7,Kandy,4856.536506300266,4969.696070018196,371.77753027448034,11.218599329553616,13.318785467648764,0.9145727244752216,25.451957521677603
2020,8,Kandy,4245.931167040199,4344.863341814409,325.0344769260652,9.808100995862862,11.644233756062615,0.7995848132381205,22.251919565163597
2020,9,Kandy,4144.837567824957,4241.414214628352,317.29556080877796,9.57457478167565,11.366990095203981,0.7805470795895937,21.722111956469224
2020,10,Kandy,4094.290768217335,4189.689651035324,313.4261027501343,9.457811674582045,11.228368264774664,0.7710282127653304,21.45720815212204
2020,11,Kandy,3942.6503693944715,4034.515960256238,301.8177285742035,9.10752235330123,10.812502773486717,0.7424716122925406,20.66249673908049
2020,12,Kandy,3841.556770179229,3931.0668330701806,294.0788124569162,8.873996139114018,10.535259112628083,0.7234338786440139,20.132689130386115
2020,1,Matale,38.72514844814534,46.97824195715831,4.452466270921108,0.08945509291521574,0.12590168844518426,0.010953067026465927,0.22630984838686594
2020,2,Matale,34.92856526695461,42.372531961358455,4.015949969850409,0.08068498576666513,0.11355838565644066,0.00987923692583201,0.20412260834893783
2020,3,Matale,142.75152761277104,173.17469584207373,16.413012920258197,0.3297560287855011,0.4641081848567576,0.040376011783835174,0.8342402254260939
2020,4,Matale,1174.2831779422895,1424.5461017008886,135.01449192116652,2.7125941410466887,3.817783552558381,0.3321356501260697,6.862513343731139
2020,5,Matale,1710.7403814445381,2075.332924107405,196.69424526245598,3.9518102811368827,5.561892236607846,0.4838678433456418,9.997570361090371
2020,6,Matale,2040.2838015718921,2475.1085517428296,234.5838601953924,4.71305558163107,6.633290918670784,0.5770762960806654,11.92342279638252
2020,7,Matale,1823.8785602440214,2212.58308198224,209.70243103436272,4.213159474163689,5.929722659712403,0.5158679803445324,10.658750114220625
2020,8,Matale,1594.564936100102,1934.3981982359298,183.33684644969262,3.683445002391235,5.184187171272292,0.45100864226624393,9.318640815929772
2020,9,Matale,1556.5991042881947,1888.3410982779315,178.97168343898565,3.5957439309057295,5.060754143384856,0.4402703412599048,9.09676841555049
2020,10,Matale,1537.616188382241,1865.3125482989321,176.78910193363217,3.5518933951629763,4.999037629441138,0.4349011907567352,8.985832215360851
2020,11,Matale,1480.6674406643806,1796.2268983619351,170.24135741757175,3.420341787934719,4.813888087609986,0.41879373924722657,8.653023614791932
2020,12,Matale,1442.7016088524733,1750.1697984039367,165.87619440686478,3.3326407164492133,4.6904550597225505,0.4080554382408874,8.431151214412651
2020,1,Nuwara Eliya,26.002874294016333,42.51777598332625,5.222214677080351,0.06006663961917774,0.11394763963531439,0.012846648105617663,0.18686092736010976
2020,2,Nuwara Eliya,23.453572892642175,38.349366573196214,4.710232845994041,0.05417775338200343,0.10277630241616588,0.011587172801145339,0.1685412285993146
2020,3,Nuwara Eliya,95.85373269166803,156.7321938208889,19.250516848845212,0.2214221225177532,0.4200422794399824,0.04735627144815922,0.6888206734058947
