date,year_month,month_name,district,province,adm_level,adm_id,PCODE,n_pixels,vim,vim_avg,viq
2002-07-01,2002-07,July,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.6330797933333333,0.66297264,95.79571333333332
2002-07-01,2002-07,July,Anuradhapura,North Central,2.0,25835.0,LK71,235.0,0.6208002666666667,0.66451175,93.88020666666667
2002-07-01,2002-07,July,Badulla,Uva,2.0,25849.0,LK81,94.0,0.6739599266666666,0.7170180433333333,94.38616
2002-07-01,2002-07,July,Batticaloa,Eastern,2.0,25833.0,LK51,82.0,0.49877519,0.5537752966666667,90.88616866666666
2002-07-01,2002-07,July,Colombo,Western,2.0,25851.0,LK11,23.0,0.7430840533333334,0.7042327766666666,105.14862866666668
2002-07-01,2002-07,July,Galle,Southern,2.0,25846.0,LK31,54.0,0.7875820766666667,0.7963837866666666,98.959715
2002-07-01,2002-07,July,Gampaha,Western,2.0,25852.0,LK12,47.0,0.7583829766666667,0.7523134333333333,100.75250999999999
2002-07-01,2002-07,July,Hambantota,Southern,2.0,25847.0,LK33,85.0,0.61658077,0.6664425666666667,93.06126866666666
2002-07-01,2002-07,July,Jaffna,Northern,2.0,25839.0,LK41,31.0,0.4659709533333333,0.46375180666666665,100.42637666666667
2002-07-01,2002-07,July,Kalutara,Western,2.0,25853.0,LK13,52.0,0.8000346,0.7950797433333333,100.58558000000001
2002-07-01,2002-07,July,Kandy,Central,2.0,41748.0,LK21,60.0,0.7689716433333333,0.7818825266666667,98.44731
2002-07-01,2002-07,July,Kegalle,Sabaragamuwa,2.0,25844.0,LK92,55.0,0.8510909,0.8361627166666666,101.68348533333334
2002-07-01,2002-07,July,Kilinochchi,Northern,2.0,25840.0,LK45,41.0,0.55672844,0.5403985833333333,102.75888333333334
2002-07-01,2002-07,July,Kurunegala,North Western,2.0,25837.0,LK61,158.0,0.7470071433333333,0.7443222666666666,100.32323666666667
2002-07-01,2002-07,July,Mannar,Northern,2.0,25841.0,LK42,65.0,0.6401723,0.62472038,102.28608866666667
2002-07-01,2002-07,July,Matale,Central,2.0,25830.0,LK22,67.0,0.7247606633333333,0.7411886500000001,97.92301133333332
2002-07-01,2002-07,July,Matara,Southern,2.0,25848.0,LK32,39.0,0.7979392799999999,0.8077109,98.860455
2002-07-01,2002-07,July,Monaragala,Uva,2.0,25850.0,LK82,186.0,0.63555427,0.6853212933333334,93.23543500000001
2002-07-01,2002-07,July,Mullaitivu,Northern,2.0,25842.0,LK44,85.0,0.6756282033333333,0.6886919566666667,98.23102133333333
2002-07-01,2002-07,July,Nuwara Eliya,Central,2.0,41749.0,LK23,58.0,0.7510039966666667,0.7643455466666667,98.36212833333333
2002-07-01,2002-07,July,Polonnaruwa,North Central,2.0,25836.0,LK72,116.0,0.6357796,0.6896422566666667,92.71779
2002-07-01,2002-07,July,Puttalam,North Western,2.0,25838.0,LK62,107.0,0.6730080666666667,0.6679628466666667,100.69303133333334
2002-07-01,2002-07,July,Ratnapura,Sabaragamuwa,2.0,25845.0,LK91,108.0,0.7799274566666666,0.7948234166666667,98.23660133333334
2002-07-01,2002-07,July,Trincomalee,Eastern,2.0,25834.0,LK53,83.0,0.5998855166666667,0.6580614966666667,91.78354466666667
2002-07-01,2002-07,July,Vavuniya,Northern,2.0,25843.0,LK43,65.0,0.65526612,0.68687702,95.70786833333334
2002-08-01,2002-08,August,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.5728614333333334,0.6297521233333333,91.62095333333333
2002-08-01,2002-08,August,Anuradhapura,North Central,2.0,25835.0,LK71,235.0,0.5852598533333334,0.6509886466666667,90.62265866666667
2002-08-01,2002-08,August,Badulla,Uva,2.0,25849.0,LK81,94.0,0.6537754966666667,0.7010389,93.706585
2002-08-01,2002-08,August,Batticaloa,Eastern,2.0,25833.0,LK51,82.0,0.44861420999999996,0.5290863866666666,86.09864499999999
2002-08-01,2002-08,August,Colombo,Western,2.0,25851.0,LK11,23.0,0.7035072466666666,0.6977320533333332,100.77032833333332
2002-08-01,2002-08,August,Galle,Southern,2.0,25846.0,LK31,54.0,0.7740499733333334,0.79401784,97.63421833333332
2002-08-01,2002-08,August,Gampaha,Western,2.0,25852.0,LK12,47.0,0.7173638133333333,0.7410126333333333,97.00785866666666
2002-08-01,2002-08,August,Hambantota,Southern,2.0,25847.0,LK33,85.0,0.6125003733333334,0.6358906333333333,96.59037000000001
2002-08-01,2002-08,August,Jaffna,Northern,2.0,25839.0,LK41,31.0,0.42803117333333335,0.46041914,93.66793366666667
2002-08-01,2002-08,August,Kalutara,Western,2.0,25853.0,LK13,52.0,0.7793698533333333,0.7902804933333334,98.70103999999999
2002-08-01,2002-08,August,Kandy,Central,2.0,41748.0,LK21,60.0,0.7526221933333334,0.7761413999999999,97.15268133333332
2002-08-01,2002-08,August,Kegalle,Sabaragamuwa,2.0,25844.0,LK92,55.0,0.82120184,0.83049366,98.94345666666668
2002-08-01,2002-08,August,Kilinochchi,Northern,2.0,25840.0,LK45,41.0,0.5107333366666666,0.5262446000000001,97.29933133333333
2002-08-01,2002-08,August,Kurunegala,North Western,2.0,25837.0,LK61,158.0,0.6653514833333333,0.7056622866666666,94.64735833333333
2002-08-01,2002-08,August,Mannar,Northern,2.0,25841.0,LK42,65.0,0.6015656166666666,0.6115338466666667,98.49160866666666
2002-08-01,2002-08,August,Matale,Central,2.0,25830.0,LK22,67.0,0.7006238533333334,0.72781648,96.50284333333333
2002-08-01,2002-08,August,Matara,Southern,2.0,25848.0,LK32,39.0,0.78254185,0.7997613100000001,97.97285166666666
2002-08-01,2002-08,August,Monaragala,Uva,2.0,25850.0,LK82,186.0,0.6091297333333333,0.6643590033333333,92.26803833333334
2002-08-01,2002-08,August,Mullaitivu,Northern,2.0,25842.0,LK44,85.0,0.6615144833333334,0.6894681,96.22155666666667
2002-08-01,2002-08,August,Nuwara Eliya,Central,2.0,41749.0,LK23,58.0,0.7487327166666667,0.7604915800000001,98.54917666666667
2002-08-01,2002-08,August,Polonnaruwa,North Central,2.0,25836.0,LK72,116.0,0.6179445333333334,0.6756234133333333,92.04899833333333
2002-08-01,2002-08,August,Puttalam,North Western,2.0,25838.0,LK62,107.0,0.6112738333333333,0.6345897133333334,96.58370333333333
2002-08-01,2002-08,August,Ratnapura,Sabaragamuwa,2.0,25845.0,LK91,108.0,0.7615401,0.7835099900000001,97.36317333333334
2002-08-01,2002-08,August,Trincomalee,Eastern,2.0,25834.0,LK53,83.0,0.5814955666666667,0.6609511433333334,88.82786
2002-08-01,2002-08,August,Vavuniya,Northern,2.0,25843.0,LK43,65.0,0.6298989700000001,0.6878702466666667,92.14816333333333
2002-09-01,2002-09,September,Ampara,Eastern,2.0,25832.0,LK52,147.0,0.5568367333333334,0.6329594333333334,88.85133466666666
2002-09-01,2002-09,September,Anuradhapura,North Central,2.0,25835.0,LK71,235.0,0.5984012766666666,0.6619698366666666,91.05618499999999
2002-09-01,2002-09,September,Badulla,Uva,2.0,25849.0,LK81,94.0,0.6645127566666668,0.7060127666666668,94.50658333333332
2002-09-01,2002-09,September,Batticaloa,Eastern,2.0,25833.0,LK51,82.0,0.42796094999999995,0.5397494566666667,81.043278
2002-09-01,2002-09,September,Colombo,Western,2.0,25851.0,LK11,23.0,0.68311449,0.6961392833333333,98.25443966666667
2002-09-01,2002-09,September,Galle,Southern,2.0,25846.0,LK31,54.0,0.7732678866666666,0.7968295466666667,97.21741300000001
2002-09-01,2002-09,September,Gampaha,Western,2.0,25852.0,LK12,47.0,0.7041085099999999,0.7382961266666667,95.66293
2002-09-01,2002-09,September,Hambantota,Southern,2.0,25847.0,LK33,85.0,0.5943646666666667,0.63163102,94.53728533333333
2002-09-01,2002-09,September,Jaffna,Northern,2.0,25839.0,LK41,31.0,0.42453654,0.4845341333333333,88.77280666666667
2002-09-01,2002-09,September,Kalutara,Western,2.0,25853.0,LK13,52.0,0.76975769,0.79020558,97.5663
2002-09-01,2002-09,September,Kandy,Central,2.0,41748.0,LK21,60.0,0.7465905333333334,0.77577225,96.46616666666667
