district,year,month,respiratory_cases,deaths
Ampara,2014,1,184.8292682926829,1.2439024390243902
Ampara,2014,2,174.56097560975607,1.1747967479674795
Ampara,2014,3,184.8292682926829,1.2439024390243902
Ampara,2014,4,164.29268292682926,1.105691056910569
Ampara,2014,5,154.02439024390245,1.0365853658536586
Ampara,2014,6,174.56097560975607,1.1747967479674795
Ampara,2014,7,195.09756097560972,1.3130081300813006
Ampara,2014,8,215.6341463414634,1.451219512195122
Ampara,2014,9,246.43902439024387,1.6585365853658536
Ampara,2014,10,266.9756097560975,1.7967479674796747
Ampara,2014,11,287.51219512195115,1.9349593495934956
Ampara,2014,12,277.2439024390244,1.8658536585365855
Anuradhapura,2014,1,788.7073170731707,6.512195121951219
Anuradhapura,2014,2,744.8902439024389,6.15040650406504
Anuradhapura,2014,3,788.7073170731707,6.512195121951219
Anuradhapura,2014,4,701.0731707317073,5.788617886178861
Anuradhapura,2014,5,657.2560975609756,5.426829268292683
Anuradhapura,2014,6,744.8902439024389,6.15040650406504
Anuradhapura,2014,7,832.5243902439023,6.8739837398373975
Anuradhapura,2014,8,920.1585365853658,7.597560975609755
Anuradhapura,2014,9,1051.6097560975609,8.682926829268292
Anuradhapura,2014,10,1139.2439024390244,9.40650406504065
Anuradhapura,2014,11,1226.8780487804877,10.130081300813007
Anuradhapura,2014,12,1183.060975609756,9.768292682926829
Badulla,2014,1,792.3658536585366,7.97560975609756
Badulla,2014,2,748.3455284552845,7.532520325203251
Badulla,2014,3,792.3658536585366,7.97560975609756
Badulla,2014,4,704.3252032520325,7.089430894308943
Badulla,2014,5,660.3048780487804,6.646341463414634
Badulla,2014,6,748.3455284552845,7.532520325203251
Badulla,2014,7,836.3861788617885,8.41869918699187
Badulla,2014,8,924.4268292682926,9.304878048780488
Badulla,2014,9,1056.4878048780486,10.634146341463413
Badulla,2014,10,1144.5284552845528,11.520325203252032
Badulla,2014,11,1232.5691056910566,12.406504065040648
Badulla,2014,12,1188.5487804878048,11.963414634146341
Batticaloa,2014,1,480.0731707317073,0.4390243902439024
Batticaloa,2014,2,453.40243902439016,0.41463414634146334
Batticaloa,2014,3,480.0731707317073,0.4390243902439024
Batticaloa,2014,4,426.73170731707313,0.39024390243902435
Batticaloa,2014,5,400.0609756097561,0.36585365853658536
Batticaloa,2014,6,453.40243902439016,0.41463414634146334
Batticaloa,2014,7,506.74390243902434,0.46341463414634143
Batticaloa,2014,8,560.0853658536585,0.5121951219512195
Batticaloa,2014,9,640.0975609756097,0.5853658536585366
Batticaloa,2014,10,693.4390243902438,0.6341463414634145
Batticaloa,2014,11,746.7804878048779,0.6829268292682926
Batticaloa,2014,12,720.109756097561,0.6585365853658537
Colombo,2014,1,1147.0243902439024,18.0
Colombo,2014,2,1083.3008130081298,16.999999999999996
Colombo,2014,3,1147.0243902439024,18.0
Colombo,2014,4,1019.5772357723577,15.999999999999998
Colombo,2014,5,955.8536585365854,15.0
Colombo,2014,6,1083.3008130081298,16.999999999999996
Colombo,2014,7,1210.7479674796746,18.999999999999996
Colombo,2014,8,1338.1951219512193,20.999999999999996
Colombo,2014,9,1529.3658536585365,23.999999999999996
Colombo,2014,10,1656.8130081300812,25.999999999999996
Colombo,2014,11,1784.2601626016258,27.999999999999996
Colombo,2014,12,1720.5365853658536,27.0
Galle,2014,1,951.5121951219512,7.536585365853658
Galle,2014,2,898.6504065040649,7.117886178861787
Galle,2014,3,951.5121951219512,7.536585365853658
Galle,2014,4,845.7886178861788,6.699186991869918
Galle,2014,5,792.9268292682926,6.280487804878049
Galle,2014,6,898.6504065040649,7.117886178861787
Galle,2014,7,1004.3739837398373,7.955284552845527
Galle,2014,8,1110.0975609756097,8.792682926829267
Galle,2014,9,1268.6829268292681,10.048780487804876
Galle,2014,10,1374.4065040650405,10.886178861788617
Galle,2014,11,1480.1300813008127,11.723577235772355
Galle,2014,12,1427.2682926829268,11.304878048780488
Gampaha,2014,1,1675.2439024390244,9.439024390243901
Gampaha,2014,2,1582.174796747967,8.914634146341461
Gampaha,2014,3,1675.2439024390244,9.439024390243901
Gampaha,2014,4,1489.1056910569105,8.390243902439023
Gampaha,2014,5,1396.0365853658536,7.865853658536585
Gampaha,2014,6,1582.174796747967,8.914634146341461
Gampaha,2014,7,1768.313008130081,9.963414634146341
Gampaha,2014,8,1954.451219512195,11.012195121951219
Gampaha,2014,9,2233.6585365853657,12.585365853658535
Gampaha,2014,10,2419.7967479674794,13.634146341463413
Gampaha,2014,11,2605.934959349593,14.68292682926829
Gampaha,2014,12,2512.8658536585367,14.158536585365853
Hambantota,2014,1,892.6829268292682,2.7073170731707314
Hambantota,2014,2,843.0894308943087,2.556910569105691
Hambantota,2014,3,892.6829268292682,2.7073170731707314
Hambantota,2014,4,793.4959349593495,2.40650406504065
Hambantota,2014,5,743.9024390243902,2.2560975609756095
Hambantota,2014,6,843.0894308943087,2.556910569105691
Hambantota,2014,7,942.2764227642275,2.857723577235772
Hambantota,2014,8,1041.4634146341461,3.1585365853658534
Hambantota,2014,9,1190.2439024390242,3.6097560975609753
Hambantota,2014,10,1289.430894308943,3.9105691056910565
Hambantota,2014,11,1388.6178861788615,4.211382113821138
