"Data Source","World Development Indicators",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","98.199757659685","88.6996936952268","87.8997936548878","85.2000087483324","83.7005829301669","82.3997905256497","81.0997928362118","84.2729565034671","85.3004631949202","85.3529990550322","84.9794691654622","85.2028212042921","85.2028212042921","","","",
"Africa Eastern and Southern","AFE","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.9675699162585","79.7668031752809","81.0804443113714","82.8234302969491","82.0100092202258","81.4631631805113","81.7810734286061","81.7481475515464","79.1060232645885","78.9447336804165","78.1839548958575","77.8585372132305","77.1224811366091","77.9309573510423","77.6268212634649","77.8654856926583","77.6950227171696","77.664419493821","76.8826830277855","75.4084965250165","74.6379370931454","74.2669462190632","73.8433439987183","72.4694651423096","70.7357216596396","70.193014595886","69.7137927363142","68.6211232194363","67.1612983278873","65.8748843621461","63.5652556998905","62.0136446266611","60.9302518331266","10.2731638195702","",
"Afghanistan","AFG","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.46268229911353","6.46268229911353","6.46255029718744","19.3691395598403","37.1350640094301","36.9860208594987","29.1044054614401","30.9694157561243","33.2683179814424","20.3501579620257","18.2471352099489","25.599241342475","20.2020412848824","18.9913642316181","14.5385252975809","12.4217605258031","12.2387345386132","13.1354163321666","17.3280043111191","12.1596421813177","12.876214093821","21.7655253936759","","","",
"Africa Western and Central","AFW","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.67142114256","37.8240377062058","39.1137330223625","40.8652521355745","43.7266292735043","43.2622293504411","43.9965773309293","44.3098417189849","50.2126842997409","48.510078878177","48.0481831385665","50.5343446420866","56.5949119035119","56.1352635109411","54.8944429486487","56.8142970502425","62.1917504853628","66.3019503648511","61.3827610374038","59.8910380229244","62.5987339704148","63.5127611582103","65.2660326330021","67.8340985140205","70.3986564098994","74.1789137846854","74.137804708956","69.4339932171028","69.0900138920216","67.7496530842483","69.8101397552746","68.902563316713","69.1505809817406","","",
"Angola","AGO","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.7931034482759","17.3447537473233","11.29883843717","6.31578947368421","6.282722513089","6.25","10.0194552529183","23.6474694589878","19.5751138088012","33.0337078651685","49.3425605536332","48.9010989010989","45.4390934844193","46.8170426065163","29.8261257244761","22.5635191505499","20.750921890714","28.7654320987654","26.7588249814861","37.1387871387871","35.3459350339512","32.2534961940166","31.4007782101167","44.2397445345124","49.3632249236922","47.5195553725813","42.458195819582","28.7270695595493","20.6561639645151","28.290307517844","24.8439299351476","27.1661536446395","27.1141280213157","","",
"Albania","ALB","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5922330097087","7.85751702462022","4.94991160872127","6.09237744403514","4.31362598325298","6.01386094343841","4.27950518221331","3.82555470543229","3.67978077901742","2.67084177564929","3.8509836751779","4.6916890080429","6.04601391118245","2.14342948717949","2.49732429539779","1.28605548410803","1.68356263577118","2.51748251748252","0","0.0192233756247597","0.0132135306553911","1.4077785731329","0","0","0","0","0","0","0","0","0","0","","","",
"Andorra","AND","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.902889245585875","3.95919131411456","3.6085409252669","3.39292229113462","2.61661757654634","6.65960927725917","","","",
"Arab World","ARB","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.7277613329162","93.2813058836294","94.2096137104375","94.5945856663859","94.6626255682795","94.9203386839657","94.6842477203","94.8659883775399","95.1946031125613","95.1537401833074","95.5390833275071","95.3815055133978","96.2431869106896","96.0664733507516","96.0858057935014","95.4519523066567","95.7910274608931","95.7991843219917","96.5475700789407","96.5991902013297","96.111666673451","96.4415714800018","96.5651389619597","96.1577548638567","96.6276833158096","96.9095870291995","96.8261753316744","96.8630328392759","96.4981263786246","95.4075870588317","94.9540421427678","94.3902920485438","93.415885721934","","",
"United Arab Emirates","ARE","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99.9929986697473","99.9808406688735","99.9778084872449","99.9783472350361","99.9218146279376","99.7417306619761","99.7644897670804","99.7561972950244","99.4463765531181","99.1184730983575","97.3594117901975","94.9195251620421","89.0508010627164","81.7670067808387","","",
"Argentina","ARG","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.0181518798761","47.1632259022724","43.4698932587273","38.5180995475113","34.6070634122558","39.0765246126137","47.7956773490799","40.0068989306657","44.70431230875","57.2815413761934","52.0754208148864","40.3442997537547","39.3723775190592","44.7814848603328","53.2085481506597","52.1107318779605","50.3940270089207","57.9593993570831","60.7978544538945","56.5354562395789","59.7341586319089","63.3391503096382","66.3761043084567","63.9943499179017","64.954248931994","65.698158091951","67.490150794729","66.7998681717064","65.6042234332425","63.5806671204901","62.3749156832611","65.016745115192","60.9200453156648","52.8358389749526","",
"Armenia","ARM","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.9932445473847","83.7536780159731","66.1928031985784","31.803018268467","37.8932484977024","60.0251753281784","37.3028644995172","50.2902637253276","49.5073493781295","42.6622354381669","45.1829472977509","48.5639686684073","28.6102554810654","27.6495182694056","30.3648424543947","28.9377869241729","24.8443023060091","25.2458460495083","26.1698440207972","20.3491447716452","22.1537513480203","32.1668909825034","42.297162767546","41.1543450064851","42.4312814556717","35.9148608795999","35.2836637047163","36.973599484868","43.3192144782441","39.6666232582367","40.3801990303649","42.9369209290519","42.1980413492927","","",
"American Samoa","ASM","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","99.8262436450222","99.099214208139","98.4515963913238","98.4979633401222","98.4806882665202","98.1688410460422","95.4125177809388","95.2437716056741","95.7262007477711","96.1289956925867","96.1274593184782","","","",
"Antigua and Barbuda","ATG","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","99.9511539870558","99.9514651459079","99.8573466476462","99.8577783157321","99.809454677434","99.812850904554","98.4479962937225","98.4404063528402","98.1539076097812","97.1734274604969","96.3125336202259","95.0515824444833","94.3442073511339","","","",
"Australia","AUS","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.9173649681652","89.2410310040939","89.6969507035633","89.224564619615","89.6478625129133","90.1910960446757","90.6051869953491","90.2442890799665","91.4019112551121","91.2945432797188","91.46148869777","91.7501725020589","92.0674122739558","91.4697330640121","91.7245243702776","91.0754428165318","90.6605677962462","91.2850545121053","91.8288305697288","92.4770915772761","91.3845033463811","89.6067526370103","89.4733067729084","86.8294794560081","85.3831398283695","86.6746646221562","85.4164232695438","84.3211421971949","82.8983053444472","80.2955012006393","77.3997088747935","73.3387559592399","69.0657788613455","66.0758396059372","",
"Austria","AUT","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.0198433212709","33.9587825107317","26.7982027739793","25.2971137521222","28.5251825641798","28.8163628279235","31.9770408163265","31.2394187358917","29.4450974544306","28.554082436335","26.5961441141421","29.7795000720588","29.7124753996064","37.4530528135075","34.1096146651702","34.6480727795068","32.5523167753702","29.4419519390326","28.9838596281282","26.793752804435","31.3898886514453","31.5834257669457","22.9756346156495","19.7056586108023","16.5851645832697","20.8058316360128","19.6990103648182","21.9827827940104","20.7703630295699","20.7721529218417","17.9649383941123","19.0206810935869","19.5091989074039","13.7041861964303","",
