pollutant,urban_area,year,month,station,value_ug_m3
NO2,Rathnapura,2014,DEC,Kudugalwaththa,71
NO2,Rathnapura,2014,DEC,Batugedara,27
NO2,Rathnapura,2014,DEC,Ratnapura Police Station,39
NO2,Rathnapura,2014,DEC,Duwagama,24
NO2,Rathnapura,2014,DEC,Saman Dewalaya,39
NO2,Rathnapura,2014,DEC,New Town,31
NO2,Rathnapura,2014,DEC,Ratnapura District Average,37
NO2,Rathnapura,2015,AVG,Ratnapura Town,24
NO2,Rathnapura,2015,AVG,Good Shed Road,27
NO2,Rathnapura,2015,AVG,Kudugalwaththa,38
NO2,Rathnapura,2015,AVG,Batugedara,16
NO2,Rathnapura,2015,AVG,Ratnapura Police Station,18
NO2,Rathnapura,2015,AVG,Duwagama,16
NO2,Rathnapura,2015,AVG,Saman Dewalaya,23
NO2,Rathnapura,2015,AVG,New Town,26
NO2,Rathnapura,2015,AVG,Ratnapura District Average,38
NO2,Rathnapura,2015,JAN,Ratnapura Town,31
NO2,Rathnapura,2015,JAN,Good Shed Road,20
NO2,Rathnapura,2015,JAN,Kudugalwaththa,53
NO2,Rathnapura,2015,JAN,Batugedara,23
NO2,Rathnapura,2015,JAN,Ratnapura Police Station,25
NO2,Rathnapura,2015,JAN,Duwagama,17
NO2,Rathnapura,2015,JAN,Saman Dewalaya,28
NO2,Rathnapura,2015,JAN,New Town,19
NO2,Rathnapura,2015,JAN,Ratnapura District Average,25
NO2,Rathnapura,2015,FEB,Ratnapura Town,31
NO2,Rathnapura,2015,FEB,Good Shed Road,26
NO2,Rathnapura,2015,FEB,Kudugalwaththa,48
NO2,Rathnapura,2015,FEB,Batugedara,21
NO2,Rathnapura,2015,FEB,Ratnapura Police Station,25
NO2,Rathnapura,2015,FEB,Duwagama,20
NO2,Rathnapura,2015,FEB,Saman Dewalaya,29
NO2,Rathnapura,2015,FEB,New Town,26
NO2,Rathnapura,2015,FEB,Ratnapura District Average,33
NO2,Rathnapura,2015,MAR,Ratnapura Town,33
NO2,Rathnapura,2015,MAR,Good Shed Road,28
NO2,Rathnapura,2015,MAR,Kudugalwaththa,53
NO2,Rathnapura,2015,MAR,Batugedara,18
NO2,Rathnapura,2015,MAR,Ratnapura Police Station,12
NO2,Rathnapura,2015,MAR,Duwagama,15
NO2,Rathnapura,2015,MAR,Saman Dewalaya,27
NO2,Rathnapura,2015,MAR,New Town,26
NO2,Rathnapura,2015,MAR,Ratnapura District Average,52
NO2,Rathnapura,2015,APR,Ratnapura Town,25
NO2,Rathnapura,2015,APR,Good Shed Road,18
NO2,Rathnapura,2015,APR,Kudugalwaththa,39
NO2,Rathnapura,2015,APR,Batugedara,13
NO2,Rathnapura,2015,APR,Ratnapura Police Station,19
NO2,Rathnapura,2015,APR,Duwagama,16
NO2,Rathnapura,2015,APR,Saman Dewalaya,22
NO2,Rathnapura,2015,APR,New Town,21
NO2,Rathnapura,2015,APR,Ratnapura District Average,32
NO2,Rathnapura,2015,MAY,Ratnapura Town,25
NO2,Rathnapura,2015,MAY,Good Shed Road,22
NO2,Rathnapura,2015,MAY,Kudugalwaththa,38
NO2,Rathnapura,2015,MAY,Batugedara,11
NO2,Rathnapura,2015,MAY,Ratnapura Police Station,16
NO2,Rathnapura,2015,MAY,Duwagama,12
NO2,Rathnapura,2015,MAY,Saman Dewalaya,21
NO2,Rathnapura,2015,MAY,New Town,22
NO2,Rathnapura,2015,MAY,Ratnapura District Average,30
NO2,Rathnapura,2015,JUN,Ratnapura Town,31
NO2,Rathnapura,2015,JUN,Good Shed Road,20
NO2,Rathnapura,2015,JUN,Kudugalwaththa,23
NO2,Rathnapura,2015,JUN,Batugedara,16
NO2,Rathnapura,2015,JUN,Ratnapura Police Station,16
NO2,Rathnapura,2015,JUN,Duwagama,14
NO2,Rathnapura,2015,JUN,Saman Dewalaya,20
NO2,Rathnapura,2015,JUN,New Town,21
NO2,Rathnapura,2015,JUN,Ratnapura District Average,30
NO2,Rathnapura,2015,AUG,Ratnapura Town,16
NO2,Rathnapura,2015,AUG,Good Shed Road,17
NO2,Rathnapura,2015,AUG,Kudugalwaththa,23
NO2,Rathnapura,2015,AUG,Batugedara,15
NO2,Rathnapura,2015,AUG,Ratnapura Police Station,15
NO2,Rathnapura,2015,AUG,Duwagama,12
NO2,Rathnapura,2015,AUG,Saman Dewalaya,16
NO2,Rathnapura,2015,AUG,New Town,26
NO2,Rathnapura,2015,AUG,Ratnapura District Average,29
NO2,Rathnapura,2015,SEP,Ratnapura Town,16
NO2,Rathnapura,2015,SEP,Good Shed Road,16
NO2,Rathnapura,2015,SEP,Kudugalwaththa,26
NO2,Rathnapura,2015,SEP,Batugedara,27
NO2,Rathnapura,2015,SEP,Ratnapura Police Station,11
NO2,Rathnapura,2015,SEP,Duwagama,16
NO2,Rathnapura,2015,SEP,Saman Dewalaya,19
NO2,Rathnapura,2015,SEP,New Town,31
NO2,Rathnapura,2015,SEP,Ratnapura District Average,42
NO2,Rathnapura,2015,OCT,Ratnapura Town,31
NO2,Rathnapura,2015,OCT,Good Shed Road,23
NO2,Rathnapura,2015,OCT,Kudugalwaththa,19
NO2,Rathnapura,2015,OCT,Batugedara,31
NO2,Rathnapura,2015,OCT,Ratnapura Police Station,19
NO2,Rathnapura,2015,OCT,Duwagama,20
NO2,Rathnapura,2015,OCT,Saman Dewalaya,24
NO2,Rathnapura,2015,OCT,New Town,21
NO2,Rathnapura,2015,OCT,Ratnapura District Average,40
NO2,Rathnapura,2015,NOV,Ratnapura Town,20
NO2,Rathnapura,2015,NOV,Good Shed Road,17
NO2,Rathnapura,2015,NOV,Kudugalwaththa,14
NO2,Rathnapura,2015,NOV,Batugedara,23
NO2,Rathnapura,2015,NOV,Ratnapura Police Station,15
NO2,Rathnapura,2015,NOV,Duwagama,16
NO2,Rathnapura,2015,NOV,Saman Dewalaya,18
NO2,Rathnapura,2015,NOV,New Town,28
NO2,Rathnapura,2015,NOV,Ratnapura District Average,63
NO2,Rathnapura,2015,DEC,Ratnapura Town,28
NO2,Rathnapura,2015,DEC,Good Shed Road,36
NO2,Rathnapura,2015,DEC,Kudugalwaththa,50
NO2,Rathnapura,2015,DEC,Batugedara,27
NO2,Rathnapura,2015,DEC,Ratnapura Police Station,26
NO2,Rathnapura,2015,DEC,Duwagama,27
NO2,Rathnapura,2015,DEC,Saman Dewalaya,32
NO2,Rathnapura,2015,DEC,New Town,37
NO2,Rathnapura,2015,DEC,Ratnapura District Average,31
NO2,Rathnapura,2016,AVG,Ratnapura Town,26
NO2,Rathnapura,2016,AVG,Good Shed Road,23
NO2,Rathnapura,2016,AVG,Kudugalwaththa,36
NO2,Rathnapura,2016,AVG,Batugedara,21
NO2,Rathnapura,2016,AVG,Ratnapura Police Station,18
NO2,Rathnapura,2016,AVG,Duwagama,17
NO2,Rathnapura,2016,AVG,Saman Dewalaya,23
NO2,Rathnapura,2016,AVG,New Town,25
NO2,Rathnapura,2016,AVG,Ratnapura District Average,36
NO2,Rathnapura,2016,JAN,Ratnapura Town,37
NO2,Rathnapura,2016,JAN,Good Shed Road,38
NO2,Rathnapura,2016,JAN,Kudugalwaththa,31
NO2,Rathnapura,2016,JAN,Batugedara,22
NO2,Rathnapura,2016,JAN,Ratnapura Police Station,24
NO2,Rathnapura,2016,JAN,Duwagama,25
NO2,Rathnapura,2016,JAN,Saman Dewalaya,30
NO2,Rathnapura,2016,JAN,New Town,33
NO2,Rathnapura,2016,JAN,Ratnapura District Average,43
NO2,Rathnapura,2016,FEB,Ratnapura Town,44
NO2,Rathnapura,2016,FEB,Good Shed Road,35
NO2,Rathnapura,2016,FEB,Kudugalwaththa,58
NO2,Rathnapura,2016,FEB,Batugedara,21
NO2,Rathnapura,2016,FEB,Ratnapura Police Station,27
NO2,Rathnapura,2016,FEB,Duwagama,29
NO2,Rathnapura,2016,FEB,Saman Dewalaya,36
NO2,Rathnapura,2016,FEB,New Town,35
NO2,Rathnapura,2016,FEB,Ratnapura District Average,31
NO2,Rathnapura,2016,MAR,Ratnapura Town,36
NO2,Rathnapura,2016,MAR,Good Shed Road,35
NO2,Rathnapura,2016,MAR,Kudugalwaththa,48
NO2,Rathnapura,2016,MAR,Batugedara,18
NO2,Rathnapura,2016,MAR,Ratnapura Police Station,22
NO2,Rathnapura,2016,MAR,Duwagama,22
NO2,Rathnapura,2016,MAR,Saman Dewalaya,30
NO2,Rathnapura,2016,MAR,New Town,28
NO2,Rathnapura,2016,MAR,Ratnapura District Average,45
NO2,Rathnapura,2016,APR,Ratnapura Town,33
NO2,Rathnapura,2016,APR,Good Shed Road,41
NO2,Rathnapura,2016,APR,Kudugalwaththa,45
NO2,Rathnapura,2016,APR,Batugedara,12
NO2,Rathnapura,2016,APR,Ratnapura Police Station,21
NO2,Rathnapura,2016,APR,Duwagama,19
NO2,Rathnapura,2016,APR,Saman Dewalaya,29
NO2,Rathnapura,2016,APR,New Town,28
NO2,Rathnapura,2016,APR,Ratnapura District Average,28
NO2,Rathnapura,2016,MAY,Ratnapura Town,37
NO2,Rathnapura,2016,MAY,Good Shed Road,39
NO2,Rathnapura,2016,MAY,Kudugalwaththa,51
NO2,Rathnapura,2016,MAY,Batugedara,15
NO2,Rathnapura,2016,MAY,Ratnapura Police Station,30
NO2,Rathnapura,2016,MAY,Duwagama,23
NO2,Rathnapura,2016,MAY,Saman Dewalaya,33
NO2,Rathnapura,2016,MAY,New Town,20
NO2,Rathnapura,2016,MAY,Ratnapura District Average,31
NO2,Rathnapura,2016,JUN,Ratnapura Town,31
NO2,Rathnapura,2016,JUN,Good Shed Road,39
NO2,Rathnapura,2016,JUN,Kudugalwaththa,52
NO2,Rathnapura,2016,JUN,Batugedara,12
NO2,Rathnapura,2016,JUN,Ratnapura Police Station,16
NO2,Rathnapura,2016,JUN,Duwagama,17
NO2,Rathnapura,2016,JUN,Saman Dewalaya,28
NO2,Rathnapura,2016,JUN,New Town,19
NO2,Rathnapura,2016,JUN,Ratnapura District Average,45
NO2,Rathnapura,2016,AUG,Ratnapura Town,19
NO2,Rathnapura,2016,AUG,Good Shed Road,16
NO2,Rathnapura,2016,AUG,Kudugalwaththa,29
NO2,Rathnapura,2016,AUG,Batugedara,10
NO2,Rathnapura,2016,AUG,Ratnapura Police Station,17
NO2,Rathnapura,2016,AUG,Duwagama,17
NO2,Rathnapura,2016,AUG,Saman Dewalaya,18
NO2,Rathnapura,2016,AUG,New Town,17
NO2,Rathnapura,2016,AUG,Ratnapura District Average,51
NO2,Rathnapura,2016,SEP,Ratnapura Town,29
NO2,Rathnapura,2016,SEP,Good Shed Road,22
NO2,Rathnapura,2016,SEP,Kudugalwaththa,24
NO2,Rathnapura,2016,SEP,Batugedara,17
NO2,Rathnapura,2016,SEP,Ratnapura Police Station,19
NO2,Rathnapura,2016,SEP,Duwagama,15
NO2,Rathnapura,2016,SEP,Saman Dewalaya,21
NO2,Rathnapura,2016,SEP,New Town,25
NO2,Rathnapura,2016,SEP,Ratnapura District Average,26
NO2,Rathnapura,2016,OCT,Ratnapura Town,31
NO2,Rathnapura,2016,OCT,Good Shed Road,20
NO2,Rathnapura,2016,OCT,Kudugalwaththa,33
NO2,Rathnapura,2016,OCT,Batugedara,28
NO2,Rathnapura,2016,OCT,Ratnapura Police Station,26
NO2,Rathnapura,2016,OCT,Duwagama,16
NO2,Rathnapura,2016,OCT,Saman Dewalaya,26
NO2,Rathnapura,2016,OCT,New Town,37
NO2,Rathnapura,2016,OCT,Ratnapura District Average,28
NO2,Rathnapura,2016,NOV,Ratnapura Town,35
NO2,Rathnapura,2016,NOV,Good Shed Road,17
NO2,Rathnapura,2016,NOV,Kudugalwaththa,47
NO2,Rathnapura,2016,NOV,Batugedara,22
NO2,Rathnapura,2016,NOV,Ratnapura Police Station,24
NO2,Rathnapura,2016,NOV,Duwagama,20
NO2,Rathnapura,2016,NOV,Saman Dewalaya,27
NO2,Rathnapura,2016,NOV,New Town,37
NO2,Rathnapura,2016,NOV,Ratnapura District Average,27
NO2,Rathnapura,2016,DEC,Ratnapura Town,36
NO2,Rathnapura,2016,DEC,Good Shed Road,21
NO2,Rathnapura,2016,DEC,Kudugalwaththa,39
NO2,Rathnapura,2016,DEC,Batugedara,26
NO2,Rathnapura,2016,DEC,Ratnapura Police Station,22
NO2,Rathnapura,2016,DEC,Duwagama,23
NO2,Rathnapura,2016,DEC,Saman Dewalaya,28
NO2,Rathnapura,2016,DEC,New Town,51
NO2,Rathnapura,2016,DEC,Ratnapura District Average,36
NO2,Rathnapura,2017,AVG,Ratnapura Town,33
NO2,Rathnapura,2017,AVG,Good Shed Road,29
NO2,Rathnapura,2017,AVG,Kudugalwaththa,40
NO2,Rathnapura,2017,AVG,Batugedara,18
NO2,Rathnapura,2017,AVG,Ratnapura Police Station,22
NO2,Rathnapura,2017,AVG,Duwagama,20
NO2,Rathnapura,2017,AVG,Saman Dewalaya,27
NO2,Rathnapura,2017,AVG,New Town,29
NO2,Rathnapura,2017,AVG,Ratnapura District Average,35
