country,subnational1,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,gfw_forest_carbon_gross_emissions_2023__Mg_CO2e,gfw_forest_carbon_gross_emissions_2024__Mg_CO2e
Sri Lanka,Kandy,30,161037,16910657,171,98731,815744,-717013,35840,48794,32108,123396,85997,158771,120202,84348,102690,53965,162789,185089,44480,118298,58625,147031,104014,73905,70448,107388,101865,86593,153639,109267
Sri Lanka,Kegalle,30,155153,16861133,109,288378,831652,-543274,31946,38354,62264,55567,100951,213386,179211,227910,224594,141490,230566,247255,156201,520784,275132,664309,834911,492820,494751,440985,456077,258410,273404,299799
Sri Lanka,Kilinochchi,30,36807,1732848,122,30665,145185,-114518,2495,3194,8523,13606,32939,38062,62905,16244,14287,16235,64092,30811,39622,60100,11821,23688,33320,61926,47977,27215,41292,21475,45646,18501
Sri Lanka,Kurunegala,30,292172,22255582,123,332289,1323239,-990950,163402,28657,31830,164708,65976,116095,146381,82548,291857,80521,169640,609597,260360,945201,194489,664857,429491,599505,324922,461169,786220,430566,566289,360638
Sri Lanka,Mannar,30,129126,5652329,167,70436,473695,-403260,4655,7462,5868,13986,14712,9322,35809,59710,34337,114048,96383,128811,139298,164178,133409,103488,67132,51445,39593,42088,86054,131093,117786,89803
Sri Lanka,Matale,30,156657,14977731,244,155009,507452,-352445,23915,28852,16977,81167,24881,103410,78185,84279,217439,84104,236417,148386,47993,98048,158040,458431,556441,314925,375278,142419,140860,48048,121098,130611
Sri Lanka,Matara,30,108815,12032589,233,97050,244719,-147669,54647,35699,43612,44124,99961,104450,107220,62702,120672,67051,109688,133225,48065,53206,30694,208409,187552,176935,133530,130932,106879,113006,71180,85747
Sri Lanka,Moneragala,30,345424,25282606,279,296414,1133761,-837345,278310,316919,448253,220222,230576,200533,345905,448401,273710,294682,201866,976490,151487,192996,117287,284608,329790,226835,148319,210470,151668,113332,464601,486672
Sri Lanka,Mullaitivu,30,175762,8325524,115,136022,478291,-342270,9569,6596,13194,29350,53745,79836,106653,54111,109032,84550,211099,166740,157223,271132,88425,251716,165052,285920,184011,239936,242603,132110,120908,201013
Sri Lanka,Nuwara Eliya,30,140077,13885980,99,149528,588199,-438671,106653,111594,52690,149696,183216,279175,201086,240222,209042,82480,205891,205653,65503,147591,109522,106382,77819,117090,96710,167191,114515,116811,210488,231660
Sri Lanka,Polonnaruwa,30,175261,10057646,175,86329,448990,-362661,18099,51086,12046,29546,14865,50897,65954,24150,125503,48842,299851,51666,85766,106637,108375,183940,109232,117766,128390,108866,127499,46035,80648,76228
Sri Lanka,Puttalam,30,171459,9193872,273,140112,660346,-520235,55696,58945,41496,108665,75888,75543,153625,115431,108816,231595,173533,210295,148659,114401,74382,281558,224360,147025,91030,144717,243212,160961,202983,119849
Sri Lanka,Ratnapura,30,275806,28498242,191,245685,1072503,-826818,54948,60218,69796,62716,153793,278447,207134,249594,234749,162239,241916,193253,100115,160611,199044,411169,417319,471072,344685,357035,405434,280888,394316,385941
Sri Lanka,Trincomalee,30,138877,7661412,179,101621,248586,-146965,13775,38847,21155,68458,38875,96455,211278,66845,173603,119777,310836,122313,75158,74116,105320,65217,110306,114685,129068,133781,85526,60014,91966,111520
Sri Lanka,Vavuniya,30,139017,5780798,82,180786,299844,-119057,71196,22642,19477,37833,31219,71882,88386,30725,285225,131476,206909,226448,191705,243431,163289,371155,198016,220876,201306,246708,334297,217883,350838,375939
