"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"LKA",1,2001,296.12027454932811588,125715.6957910315084033
"LKA",2,2001,389.58128890819801589,102656.5462670799864434
"LKA",3,2001,207.97401362544850207,123686.241186732562416
"LKA",4,2001,25.30325793884900744,8298.728043839806868
"LKA",5,2001,31.16918948394450582,17756.519641452941587
"LKA",6,2001,159.55768549929874302,94428.139440249463222
"LKA",7,2001,49.16657419283799766,21809.567914970165956
"LKA",8,2001,191.76443021817489372,69223.67151579580205255
"LKA",9,2001,0.75854196349880647,227.13983045057271
"LKA",10,2001,160.59758789149821196,88414.081701099570258
"LKA",11,2001,68.00987849237711743,35840.530764549592139
"LKA",12,2001,55.89110435537787070,31945.927079390974204
"LKA",13,2001,10.02272976250596806,2493.798003763057518
"LKA",14,2001,387.89082033886705135,163401.882653841161236
"LKA",15,2001,19.46054339918240536,4654.59192737317651
"LKA",16,2001,48.35206570357747892,23914.510177318366548
"LKA",17,2001,90.65816210450603424,54646.37235568645634
"LKA",18,2001,674.31070597980826147,278310.1648800193161244
"LKA",19,2001,37.98058361416178886,9568.837901350067155
"LKA",20,2001,187.21249082840602734,106652.604210377378494
"LKA",21,2001,54.55405880776991702,18098.4708953882016307
"LKA",22,2001,185.40020129394554122,55695.7289508639620606
"LKA",23,2001,96.16031050356174055,54947.781198132767950
"LKA",24,2001,48.54996215671929215,13775.359121789347225
"LKA",25,2001,283.21674066252126512,71195.138707851377021
"LKA",1,2002,212.33225333296466057,76519.177560201300443
"LKA",2,2002,484.77444179821219787,118950.005549195796447
"LKA",3,2002,207.62313394434839971,109337.186338393257888
"LKA",4,2002,41.45873783905979296,12442.282178822860576
"LKA",5,2002,49.12162300164387525,25497.386765906965659
"LKA",6,2002,102.19515433248859587,61569.902389807417893
"LKA",7,2002,46.88163254968505820,21419.211195293346682
"LKA",8,2002,76.64905214646050692,34100.8627327933872475
"LKA",9,2002,1.74462019771647142,488.251492948200947
"LKA",10,2002,121.61009687927465173,67370.361541916710204
"LKA",11,2002,89.75971994256729104,48793.733841873977983
"LKA",12,2002,65.75230923097683911,38353.997783253666565
